"Time"	"BTC / USD Denominated Closing Price"	"BTC / MVRV (Market Cap / Realized Market Cap)"	"BTC / 30 Day Volatility"	"BTC / 180 Day Volatility"
"2011-01-17"	0.3495	3.48443916	0.05886174778476373	0.08180319814824676
"2011-01-18"	0.31299	3.11008305	0.06294450939681898	0.07890911655641247
"2011-01-19"	0.31299	3.07260733	0.06020721097079629	0.07888736544153943
"2011-01-20"	0.39	3.78751517	0.0686216058110418	0.07997024246136074
"2011-01-21"	0.41991	4.03324208	0.0693579726114456	0.07983934291452971
"2011-01-22"	0.44003552893045	4.1752733	0.06948105928458322	0.07959281944063254
"2011-01-23"	0.4424	4.11467439	0.06934690245289918	0.07955249146096613
"2011-01-24"	0.4199	3.8538566	0.07054380449822072	0.07969158980517062
"2011-01-25"	0.41	3.73958941	0.07048708462030935	0.07882311967586832
"2011-01-26"	0.415085129748685	3.28267628	0.07043023798856322	0.07854812588661426
"2011-01-27"	0.4212	3.29852211	0.06992842835542605	0.07850899622766397
"2011-01-28"	0.444484044418469	3.44964227	0.0696624822730937	0.07813703782449569
"2011-01-29"	0.439	3.35970677	0.06977978794436007	0.07812620713472922
"2011-01-30"	0.477142033898305	3.62408311	0.07090612998598739	0.07830709313587352
"2011-01-31"	0.525136870251315	3.88967746	0.07233011083155085	0.0784159878044782
"2011-02-01"	0.707510116890707	5.02344554	0.08837285337097832	0.08115772116848262
"2011-02-02"	0.725434821741671	4.95514811	0.08796255715892198	0.08116191322516488
"2011-02-03"	0.693898367621274	4.68663449	0.08896653748694223	0.08116283629076251
"2011-02-04"	0.810958971361777	5.36029838	0.09177742295367486	0.08184188195900315
"2011-02-05"	0.911671477498539	5.79068626	0.0927528437631105	0.08161933383340263
"2011-02-06"	0.898	5.59155797	0.09300206720566415	0.08161917292384245
"2011-02-07"	0.889421369959088	5.25293615	0.09323908004647802	0.08155783032356834
"2011-02-08"	0.918	5.35492291	0.09302656209165909	0.0815383257316841
"2011-02-09"	1.01605024547049	5.69602563	0.09369260918102217	0.08147572759632697
"2011-02-10"	0.979652963179427	5.38116292	0.09443433847406368	0.08154901785669992
"2011-02-11"	1.05406945353594	5.62034798	0.09394593451784194	0.08159915975806836
"2011-02-12"	1.07870328404442	5.66318761	0.09364320284992486	0.0815979313920419
"2011-02-13"	1.05	5.42738984	0.0872213132776168	0.08156957088151359
"2011-02-14"	1.07001262419638	5.31812686	0.08632411813155366	0.08150321746959593
"2011-02-15"	1.05	5.15817185	0.08667492806242517	0.08150222121317742
"2011-02-16"	1.031687628872	5.01369832	0.08347694357583932	0.08150094590428102
"2011-02-17"	1.0399231975453	5.00090272	0.07899618942755895	0.08150270339846839
"2011-02-18"	0.898955914669784	4.27713788	0.08573093267681034	0.08236513684190064
"2011-02-19"	0.944028116890707	4.46173899	0.07838989658026826	0.08237379309689889
"2011-02-20"	0.865	4.04564986	0.08073523530564672	0.08272028454277712
"2011-02-21"	0.835747428404442	3.8865163	0.0813066225133905	0.08279013471645336
"2011-02-22"	0.877041779661017	4.03903963	0.08139196966330751	0.08280666235808538
"2011-02-23"	0.9	4.11116115	0.08014958529084504	0.08281094641545418
"2011-02-24"	0.989095265926359	4.46075117	0.08054973633863184	0.08300903679881415
"2011-02-25"	0.914652001753361	4.09708361	0.08287385632953054	0.08328110897828513
"2011-02-26"	0.958	4.20136279	0.08292130710658349	0.0833142581801101
"2011-02-27"	0.895033114552893	3.85737612	0.08454894128923005	0.08324522040017727
"2011-02-28"	0.860220923436587	3.66264324	0.08509102626793424	0.0833334445457106
"2011-03-01"	0.921096891876096	3.45556491	0.084765483139222	0.08342809353823626
"2011-03-02"	0.9399	3.49629585	0.08360798468755541	0.08332358972411406
"2011-03-03"	0.939073383401519	3.4729141	0.06498881499848626	0.0833308041518091
"2011-03-04"	0.9011	3.31231304	0.06556534222372412	0.08341834166489831
"2011-03-05"	0.90784060666277	3.30711769	0.06483551792872472	0.0834119197466474
"2011-03-06"	0.884770973115138	3.2074455	0.05884533152233061	0.08345275311876646
"2011-03-07"	0.877583864406779	3.17308684	0.05476845190278256	0.08345867904835454
"2011-03-08"	0.866071591466979	3.11400943	0.05475295736862526	0.08347931189681841
"2011-03-09"	0.86	3.08389438	0.05474140656597096	0.08348613105376022
"2011-03-10"	0.920670309760374	3.286687	0.05588977389467609	0.08355691584050803
"2011-03-11"	0.88	3.13277134	0.053058415548960264	0.08359788473043665
"2011-03-12"	0.917815513150205	3.23180751	0.05337806441084511	0.08362211064888478
"2011-03-13"	0.89249	3.12541924	0.05161814363921917	0.08367271957886128
"2011-03-14"	0.893924922852133	3.09976092	0.0513552912036027	0.08362281539994507
"2011-03-15"	0.87224	3.0094772	0.051323630612840676	0.0836714906815766
"2011-03-16"	0.851211665692578	2.90524469	0.05120302454101346	0.08365229659351853
"2011-03-17"	0.82542	2.80330055	0.0513389541712783	0.08372088712164162
"2011-03-18"	0.801959208065459	2.72116816	0.05145211661306587	0.08377720294282749
"2011-03-19"	0.765	2.5915635	0.05183130565887184	0.08388352935007098
"2011-03-20"	0.7415	2.50871253	0.04532203722286341	0.08395020599156774
"2011-03-21"	0.75897	2.56031946	0.04447644447476236	0.08393040417895618
"2011-03-22"	0.809130292811222	2.71742347	0.043651099725872965	0.08401011679299515
"2011-03-23"	0.84971	2.8434557	0.044181315632366935	0.08404359646688955
"2011-03-24"	0.872374365867914	2.88481841	0.043542624161556506	0.08403797551242202
"2011-03-25"	0.88377	2.91145917	0.043340462450128646	0.0840305509069424
"2011-03-26"	0.8552	2.79254753	0.03980494068333096	0.08410124837385194
"2011-03-27"	0.822	2.67675364	0.03792858369676539	0.08418596977734381
"2011-03-28"	0.794740500292227	2.58237	0.03710596388702213	0.0842557155508988
"2011-03-29"	0.792509941554646	2.56999182	0.035225670463851846	0.08425846583675019
"2011-03-30"	0.789706312098189	2.55673793	0.03457766020307122	0.08426327157186426
"2011-03-31"	0.78461	2.53409399	0.03185415280196023	0.08425915297632207
"2011-04-01"	0.77411	2.49434063	0.03151416712017742	0.08427167213456865
"2011-04-02"	0.78199	2.51639313	0.03164529343873124	0.08426863473004675
"2011-04-03"	0.779	2.50130518	0.030940655769356416	0.08427422278574764
"2011-04-04"	0.68	2.1702087	0.038997681044084936	0.08501002656250718
"2011-04-05"	0.715691834599649	2.2785139	0.0404042301523476	0.0849706163337372
"2011-04-06"	0.74	2.35209347	0.041072522651523294	0.08339507168738984
"2011-04-07"	0.7538	2.39124558	0.041279260267118985	0.08310541902343543
"2011-04-08"	0.74999	2.37382641	0.04127686663144679	0.08309590802537192
"2011-04-09"	0.734060517241379	2.31988599	0.03901266081456225	0.08309395854056632
"2011-04-10"	0.733156820572765	2.31383197	0.038370780738706194	0.08309410870985784
"2011-04-11"	0.770113933372297	2.42399078	0.0386987777908484	0.08287815947378027
"2011-04-12"	0.861381607831677	2.6961135	0.04401228758336718	0.08316658821336452
"2011-04-13"	0.930320058445353	2.89135449	0.046271043403200034	0.08329869952938664
"2011-04-14"	0.998629766218586	3.07319764	0.04768771176059547	0.08332505718989952
"2011-04-15"	0.983673136762127	2.99333242	0.04752301957906646	0.08335060447024319
"2011-04-16"	1.04663285797779	3.15615233	0.0481430831327058	0.08342936084026376
"2011-04-17"	1.09812209789597	3.27386129	0.04816502608386577	0.08334226916944032
"2011-04-18"	1.14943331151373	3.37473832	0.04730777622215054	0.0833768109373158
"2011-04-19"	1.18516222092344	3.42498343	0.04663177845181854	0.08324836953631944
"2011-04-20"	1.14212598480421	3.28485981	0.04757945956444014	0.08322696363093195
