Time,BTC / USD Denominated Closing Price,BTC / MVRV (Market Cap / Realized Market Cap),BTC / 30 Day Volatility,BTC / 180 Day Volatility
21/09/2019,9986.406108,1.74318445,0.02089895,0.043056534
22/09/2019,10047.01347,1.7535283,0.020208604,0.043056075
23/09/2019,9692.741048,1.69241697,0.020703189,0.043132131
24/09/2019,8613.671249,1.5076985,0.029690318,0.044089996
25/09/2019,8424.157646,1.47778949,0.029253314,0.044119319
26/09/2019,8091.695299,1.42454001,0.029809686,0.044241959
27/09/2019,8186.779639,1.44132571,0.029166386,0.044245206
28/09/2019,8201.979013,1.44491153,0.028960195,0.044242455
29/09/2019,8064.508062,1.42120643,0.028901314,0.042485139
30/09/2019,8282.365454,1.45994759,0.029466354,0.042517603
01/10/2019,8314.55139,1.46687818,0.029243884,0.042506893
02/10/2019,8362.530732,1.47560342,0.02653274,0.04247661
03/10/2019,8254.33991,1.45721375,0.025927314,0.042493002
04/10/2019,8165.686151,1.44209083,0.025916775,0.04246154
05/10/2019,8141.633714,1.43793767,0.025885215,0.042447554
06/10/2019,7854.609813,1.38789488,0.026218902,0.042519672
07/10/2019,8226.023429,1.45350223,0.0277607,0.042620187
08/10/2019,8190.115121,1.44711351,0.027769043,0.042439149
09/10/2019,8598.331921,1.5187746,0.029632466,0.042576385
10/10/2019,8578.090379,1.51523934,0.029441899,0.042576878
11/10/2019,8289.854029,1.4650268,0.029823432,0.04265488
12/10/2019,8323.750144,1.47085893,0.029279557,0.042613901
13/10/2019,8291.250651,1.46532541,0.029284809,0.042561064
14/10/2019,8346.368437,1.46837588,0.029350674,0.042562018
15/10/2019,8160.712628,1.43701211,0.029480264,0.042599426
16/10/2019,8003.855923,1.41022441,0.029549498,0.042630485
17/10/2019,8072.489382,1.42275851,0.029706987,0.042632703
18/10/2019,7959.331994,1.40337963,0.029716724,0.042648191
19/10/2019,7948.477337,1.40147566,0.029538888,0.042635674
20/10/2019,8213.709039,1.4480022,0.03048647,0.04264838
21/10/2019,8211.654559,1.44819078,0.030437258,0.042614685
22/10/2019,8029.205373,1.41660892,0.030476375,0.042418469
23/10/2019,7458.035857,1.31849373,0.03241861,0.042797517
24/10/2019,7454.371138,1.32043974,0.025011105,0.042796845
25/10/2019,8656.655178,1.53033296,0.037451819,0.044181142
26/10/2019,9249.646761,1.63052996,0.03844999,0.044432264
27/10/2019,9558.156044,1.68313273,0.038778938,0.044463543
28/10/2019,9319.178142,1.63844571,0.039174245,0.044512438
29/10/2019,9431.207124,1.65571824,0.038990599,0.044509115
30/10/2019,9182.855065,1.61181743,0.039195008,0.044436198
31/10/2019,9155.277299,1.60646394,0.039212513,0.044418458
01/11/2019,9251.381293,1.62077063,0.039232336,0.044415151
02/11/2019,9300.190838,1.62876338,0.039110787,0.044410338
03/11/2019,9209.638696,1.61294847,0.039098014,0.044393233
04/11/2019,9418.360131,1.64848919,0.039216316,0.044402948
05/11/2019,9330.787223,1.63757092,0.038559181,0.044340174
06/11/2019,9354.933382,1.64148312,0.037795691,0.044279898
07/11/2019,9210.748222,1.61571232,0.037938495,0.043045635
08/11/2019,8791.333935,1.54350145,0.038051692,0.042998772
09/11/2019,8810.784562,1.54712396,0.038048011,0.042126266
10/11/2019,9042.890723,1.58742033,0.037720248,0.042144306
11/11/2019,8713.20793,1.52978275,0.038419926,0.04217212
12/11/2019,8788.958143,1.5426696,0.038427126,0.042045734
13/11/2019,8766.729431,1.5361222,0.038425021,0.041707354
14/11/2019,8645.435804,1.51523438,0.038271072,0.041718291
15/11/2019,8465.877889,1.48420069,0.038302508,0.040755961
16/11/2019,8477.690243,1.48640991,0.038281826,0.04069552
17/11/2019,8505.161223,1.4912036,0.038166575,0.040696094
18/11/2019,8183.533414,1.43585132,0.038883756,0.040686127
19/11/2019,8116.820673,1.42462588,0.038443707,0.040632275
20/11/2019,8076.55466,1.41836156,0.038452761,0.040625459
21/11/2019,7612.277488,1.33896278,0.039738094,0.040858649
22/11/2019,7277.524273,1.28344958,0.038257795,0.04054872
23/11/2019,7324.836179,1.29339001,0.038281005,0.040544652
24/11/2019,6943.380656,1.22636138,0.027157502,0.040726063
25/11/2019,7139.044686,1.26222308,0.024322398,0.04078094
26/11/2019,7165.43773,1.26841696,0.023164985,0.040646978
27/11/2019,7526.863817,1.33297166,0.025317809,0.040736247
28/11/2019,7436.336382,1.31736129,0.025072742,0.040745064
29/11/2019,7747.738042,1.37249236,0.026340765,0.040829322
30/11/2019,7556.193721,1.33947241,0.026570116,0.040562622
01/12/2019,7417.727206,1.31531292,0.026462687,0.040285549
02/12/2019,7318.312522,1.29871273,0.026375528,0.040271315
03/12/2019,7306.446233,1.29767248,0.026398448,0.04027101
04/12/2019,7215.020345,1.28246605,0.02578744,0.04021117
05/12/2019,7404.086795,1.31656246,0.026555616,0.040252384
06/12/2019,7534.208356,1.34019312,0.026890003,0.040168166
07/12/2019,7512.061403,1.33632666,0.026853928,0.040020033
08/12/2019,7528.940269,1.33937263,0.025817843,0.040015345
09/12/2019,7340.227459,1.30638835,0.026036585,0.040002719
10/12/2019,7232.091784,1.28784015,0.025359839,0.040008097
11/12/2019,7200.464446,1.28292787,0.02473489,0.039790541
12/12/2019,7192.849024,1.28218893,0.024594768,0.039766532
13/12/2019,7244.90372,1.29164777,0.024715465,0.03974312
14/12/2019,7071.10709,1.26106197,0.024896424,0.039687025
15/12/2019,7111.28667,1.26826677,0.024844517,0.039625155
16/12/2019,6882.395795,1.22841184,0.025280072,0.039640692
17/12/2019,6608.96198,1.18120445,0.025927054,0.039684205
18/12/2019,7284.625484,1.30300236,0.031705931,0.040149339
19/12/2019,7146.167638,1.27839546,0.031820923,0.039918807
20/12/2019,7184.219172,1.28507153,0.031868169,0.039912028
21/12/2019,7140.298011,1.27731542,0.030117463,0.039880434
22/12/2019,7479.402408,1.33772206,0.030255666,0.03974219
23/12/2019,7321.748724,1.30974111,0.030503568,0.039122046
24/12/2019,7235.629084,1.29430833,0.02889134,0.037622621
25/12/2019,7191.174166,1.28852354,0.028483,0.036727714
26/12/2019,7194.639758,1.28945009,0.028475631,0.036654722
27/12/2019,7237.150447,1.29743017,0.026959314,0.035977023
28/12/2019,7306.643308,1.30991222,0.026950325,0.035945283
29/12/2019,7391.578521,1.32663778,0.025898006,0.035927073
30/12/2019,7229.397101,1.29751611,0.025814119,0.035057696
31/12/2019,7167.395055,1.28681852,0.025651977,0.034728439
01/01/2020,7170.631869,1.28743526,0.025546625,0.034714033
02/01/2020,6946.825269,1.24755453,0.026167918,0.034745687
